Concat_Subtype_Element_Type,Weightings,Varient_Commment
Precipitation Compound_Animal Grid,6,If functioning of theAsset could be directly
Precipitation Compound_Central Well,9,NULL
Precipitation Compound_Civils,4,NULL
Precipitation Compound_Equipment Housing,4,NULL
Precipitation Compound_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Precipitation Compound_Foundation,9,NULL
Precipitation Compound_Kerbs,1,NULL
Precipitation Compound_Maintenance Hole,3,NULL
Precipitation Compound_Maintenance Hole,6,If element provides solemeans of undertakingmaintenance orinspection activity.
Precipitation Compound_Measurement Scale,7,NULL
Precipitation Compound_Measurement Scale,9,If sole means ofmeasuring a value.
Precipitation Compound_Outstation,NULL,NULL
Precipitation Compound_Padlock or Lock,6,NULL
Precipitation Compound_Padlock or Lock,9,If critical to theoperation of the asset.
Precipitation Compound_Solar Panel,NULL,NULL
Precipitation Compound_Treads and Risers,3,NULL
Precipitation Compound_Treads and Risers,7,If required foroperational access.
Precipitation Compound_Turf Wall,9,NULL
Precipitation Compound_Wind Turbine,NULL,NULL
Pressure System Assembly_Bellows,NULL,NULL
Pressure System Assembly_Common Controls,NULL,NULL
Pressure System Assembly_Draindown Fountain,NULL,NULL
Pressure System Assembly_Filter or Strainer,NULL,NULL
Pressure System Assembly_Motor,NULL,NULL
Pressure System Assembly_Pipework,6,NULL
Pressure System Assembly_Pipework,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Pressure System Assembly_Pressure Storage Vessel,NULL,NULL
Pressure System Assembly_Pressure System,NULL,NULL
Pressure System Assembly_Pressure System Valves,NULL,NULL
Pressure System Assembly_Pump,NULL,NULL
Pressure System Assembly_Sensor,7,NULL
Pressure System Assembly_Sensor,9,If the sensor is critical tothe operation of theasset and there is noinbuild back-up oralternative operationalconfiguration
Promenade_Balustrade,4,NULL
Promenade_Balustrade,7,If element required forsafe operation.
Promenade_Fill,NULL,NULL
Promenade_Foundation,9,NULL
Promenade_High Ground,3,NULL
Promenade_High Ground,1,If High ground risessteeply away fromchannel side or coast
Promenade_Road,3,NULL
Promenade_Road,9,"If critical to thefunctioning of the asset,i.e. there is noalternative access."
PSRA Tree Site_Tree,1,NULL
PSRA Tree Site_Tree,5,If critical to PRSAmeasures at the site.
PSRA Tree Site_Tree Group,1,NULL
PSRA Tree Site_Tree Group,5,If critical to PRSAmeasures at the site.
Public Safety Control System_Edge Marking,9,NULL
Public Safety Control System_Fencing,9,NULL
Public Safety Control System_Hedgerow or Planting,3,NULL
Public Safety Control System_Hedgerow or Planting,9,If element categorisedas Critical to overallasset function
Public Safety Control System_Navigation Markings,9,NULL
Public Safety Control System_Padlock or Lock,6,NULL
Public Safety Control System_Padlock or Lock,9,if critical to theoperation of the asset
Public Safety Control System_PSRA Access,6,NULL
Public Safety Control System_PSRA Access,9,if critic to preventingpublic access to the siteor there is noalternative access foroperational staff.
Public Safety Control System_PSRA Gate,6,NULL
Public Safety Control System_PSRA Gate,9,if critic to preventingpublic access to the siteor there is noalternative access foroperational staff.
Public Safety Control System_PSRA Screen,9,NULL
Public Safety Control System_PSRA Signage,4,NULL
Public Safety Control System_PSRA Signage,6,If the only signage andnot reinforced by othercontrol measures.
Public Safety Control System_Public Safety Alert Device,1,NULL
Public Safety Control System_Rescue Equipment,9,NULL
Public Safety Control System_Safety Boom,9,NULL
Public Safety Control System_Safety Screen,9,NULL
Public Safety Control System_Security Barrier,6,NULL
Public Safety Control System_Security Barrier,9,if critic to preventingunauthorised access or
Public Safety Control System_Security Camera,6,NULL
Public Safety Control System_Security Camera,9,if the asset has noalternative systems orsecurity cameras toidentify intrusion orcriminal activity
Pump Assembly_Actuator,NULL,NULL
Pump Assembly_Bellows,NULL,NULL
Pump Assembly_Cathodic Protection,NULL,NULL
Pump Assembly_Dampers,NULL,NULL
Pump Assembly_Draindown Fountain,NULL,NULL
Pump Assembly_Electricity Meter,NULL,NULL
Pump Assembly_Electricity Sub Meter,NULL,NULL
Pump Assembly_Filter or Strainer,NULL,NULL
Pump Assembly_Gearbox,NULL,NULL
Pump Assembly_Lifting Chains and Sprockets,NULL,NULL
Pump Assembly_Motor,NULL,NULL
Pump Assembly_Pipe Joint,6,NULL
Pump Assembly_Pipe Joint,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Pump Assembly_Pipework,6,NULL
Pump Assembly_Pipework,9,if on a pipe that iscritical to the asset
Pump Assembly_Pump,NULL,NULL
Pump Assembly_Pump Valves,NULL,NULL
Pump Assembly_Sensor,7,NULL
Pump Assembly_Sensor,9,If the sensor is critical tothe operation of theasset and there is noinbuild back-up oralternative operationalconfiguration
Pump Assembly_Springs,NULL,NULL
Pump Assembly_Surge Vessel,NULL,NULL
Pump Assembly_Vertical Extended Spindle,NULL,NULL
Pump House_Access Strip,6,NULL
Pump House_Access Strip,3,If an alternate accessfor regular maintenanceis available.
Pump House_Actuator,NULL,NULL
Pump House_Alternator,NULL,NULL
Pump House_Animal Grid,2,NULL
Pump House_Animal Grid,6,If functioning of theAsset could be directlyaffected by animaldamage
Pump House_Automation Interface,NULL,NULL
Pump House_Band Screen,7,NULL
Pump House_Band Screen,9,If primary function ofasset is fishmanagement e.g. Fishor Eel barrier.
Pump House_Beams,8,NULL
Pump House_Beams,9,If element deemed tobe load bearing
Pump House_Cable and Pipe Management,4,NULL
Pump House_Cable and Pipe Management,7,If pipes carry pumpedmaterial or control orpower cables
Pump House_Ceiling,4,NULL
Pump House_Chain Blocks,NULL,NULL
Pump House_Chamber,5,NULL
Pump House_Chamber,9,If element is critical foroperation.
Pump House_Civils,4,NULL
Pump House_Climate Control,NULL,NULL
Pump House_Data Logger,NULL,NULL
Pump House_Datum Plates and Markers,2,NULL
Pump House_Datum Plates and Markers,5,If critical for datacalibration / qualitychecks.
Pump House_Davit,NULL,NULL
Pump House_Distribution Board,NULL,NULL
Pump House_Distribution Network Operator Feeder,NULL,NULL
Pump House_Doors and Windows,6,NULL
Pump House_Doors and Windows,9,If element is critical foraccess/egress/security
Pump House_Drainage System,5,NULL
Pump House_Drainage System,9,"if failure could not bemitigated and wouldcause a H,S&W /pollution incident."
Pump House_Electrical System,NULL,NULL
Pump House_Electricity Meter,NULL,NULL
Pump House_Electricity Sub Meter,NULL,NULL
Pump House_Equipment Housing,4,NULL
Pump House_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Pump House_Equipment Mounting Board,3,NULL
Pump House_Equipment Mounting Board,9,if board supportsequipment critical tothe operation of theasset and the lack ofsupport would makethem inoperable.
Pump House_External Features,4,NULL
Pump House_External Features,6,if feature protectsstructural elementsfrom deterioration orrequired for security.
Pump House_External Walls,8,NULL
Pump House_External Walls,9,If element deemed tobe load bearing orrequired for security
Pump House_Fastenings,7,NULL
Pump House_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Pump House_Fire Protection,1,NULL
Pump House_Fixed Fall Arrest System,NULL,NULL
Pump House_Fixings,3,NULL
Pump House_Floor,8,NULL
Pump House_Floor,9,if affected area can't beisolated and preventsthe operation of theasset as a whole.
Pump House_Foundation,9,NULL
Pump House_Frame,8,NULL
Pump House_Frame,9,If structure is of majorsignificance and failure
Pump House_Fuel Cell,NULL,NULL
Pump House_Gantry,1,NULL
Pump House_Gantry,5,If failure wouldcompromise operation.
Pump House_Gas System,NULL,NULL
Pump House_Grassed Elements,1,NULL
Pump House_Habitat Enhancement,1,NULL
Pump House_Heating System,NULL,NULL
Pump House_Hydro Turbine,NULL,NULL
Pump House_Incomer,NULL,NULL
Pump House_Internal Features,1,NULL
Pump House_Internal Walls,4,NULL
Pump House_Internal Walls,9,If load bearing or criticalfor security or noisecontrol.
Pump House_Jib Crane,NULL,NULL
Pump House_Kerbs,1,NULL
Pump House_Ladder,3,NULL
Pump House_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Pump House_Lighting,NULL,NULL
Pump House_Maintenance Hole,3,NULL
Pump House_Maintenance Hole,6,If element provides solemeans of undertakingmaintenance orinspection activity.
Pump House_Network,NULL,NULL
Pump House_Outlet,9,NULL
Pump House_Overhead Crane,NULL,NULL
Pump House_Padlock or Lock,6,NULL
Pump House_Padlock or Lock,9,if critical to theoperation of the asset
Pump House_Planted Elements,1,NULL
Pump House_Roller Shutters,6,NULL
Pump House_Roller Shutters,9,If element is critical foraccess/egress/security
Pump House_Roof,8,NULL
Pump House_Roof,9,If element is critical forsecurity or building is ofmajor significance
Pump House_Ropes,3,NULL
Pump House_Ropes,6,If required for routineinspection /maintenance activities
Pump House_Router,NULL,NULL
Pump House_Security Camera,1,NULL
Pump House_Security Camera,6,If Asset has a history ofsuffering from criminalactivity and the camerais a critical element of
Pump House_Sewage Treatment System,NULL,NULL
Pump House_Solar Panel,NULL,NULL
Pump House_Stoplogs and Lasherboards,3,NULL
Pump House_Stoplogs and Lasherboards,9,If required to performfrequent maintenanceor inspection activitiesactivities
Pump House_Structural Steelwork,9,NULL
Pump House_Struts and Bracing,7,NULL
Pump House_Substructure,8,NULL
Pump House_Substructure,9,if function /performance of theasset beingcompromised.
Pump House_Thrust Pit,7,NULL
Pump House_Thrust Pit,9,if function /performance of theasset beingcompromised.
Pump House_TopMark,3,NULL
Pump House_Transformer,NULL,NULL
Pump House_Treads and Risers,3,NULL
Pump House_Treads and Risers,7,if required foroperational access.
Pump House_Uninterruptible Power Supply,NULL,NULL
Pump House_Ventilation System,NULL,NULL
Pump House_Waste Disposal System,NULL,NULL
Pump House_Water Supply Plumbing System,7,NULL
Pump House_Water Supply Plumbing System,9,If critical for theoperation of the assetand no alternativearrangement areavailable.
Pump House_Winch,NULL,NULL
Pump House_Wind Turbine,NULL,NULL
Quay_Bearing Piling,7,NULL
Quay_Bearing Piling,8,If element deemed tobe structurallysignificant orcontributes to flood riskmanagement.
Quay_Capping Beam,6,NULL
Quay_Davit,NULL,NULL
Quay_Deck,7,NULL
Quay_Deck,9,If Deck is over water.
Quay_Exposed Face,7,NULL
Quay_Exposed Face,9,If asset is extremelyexposed.
Quay_Face Protection,7,NULL
Quay_Gantry,1,NULL
Quay_Gantry,5,If failure wouldcompromise operation.
Quay_Jib Crane,NULL,NULL
Quay_Ladder,3,NULL
Quay_Ladder,5,"if element is consideredcritical to access, egressor security or to theoverall asset function."
Quay_Lock Gate,9,NULL
Quay_Mooring Point,6,NULL
Quay_Mooring Point,9,If element is asingle/only mooring
Quay_Overhead Crane,NULL,NULL
Quay_Pile Capping,6,NULL
Quay_Pile Capping,8,If element is critical tostructural stability ofthe asset.
Quay_Piling,7,NULL
Quay_Piling,8,If element deemed tobe structurallysignificant orcontributes to flood riskmanagement.
Quay_Quay Face,7,NULL
Quay_Quay Face,9,Depending onprevailingconditions/exposure
Quay_Roundhead,5,NULL
Quay_Roundhead,7,If asset is extremelyexposed.
Quay_Service Pedestal,2,NULL
Quay_Sheet Piling,5,NULL
Quay_Sheet Piling,8,If element deemed tobe structurallysignificant orcontributes to flood riskmanagement.
Quay_Shore,5,NULL
Quay_Shore,8,If the Shore providesstructural stability orerosion protection tostructures that form theAsset.
Quay_Stem,7,NULL
Quay_Stem,9,If Quay is perpendicular(right angle) and lessthan 3 metres wide.
Quay_Water Point,NULL,NULL
Ramp_Apron,5,NULL
Ramp_Apron,3,If apron structure is ofminor significance andfailure will not induceasset failure.
Ramp_Balustrade,4,NULL
Ramp_Balustrade,7,If element required forsafe operation.
Ramp_Bearing Piling,6,NULL
Ramp_Bearing Piling,9,If element is requiredfor structural integrity.
Ramp_Bollard,3,NULL
Ramp_Bollard,6,If element plays a safetycritical role
Ramp_Handrail,4,NULL
Ramp_Handrail,7,If element required forsafe operation.
Ramp_Navigation Light,3,NULL
Ramp_Piling,6,NULL
Ramp_Piling,9,If element is requiredfor structural integrity.
Ramp_Retaining Wall,6,NULL
Ramp_Retaining Wall,9,if failure prevents theoperation of the asset
Ramp_Slope,6,NULL
Ramp_Slope,9,If element critical tooverall asset function.
Ramp_Wheel Stop,3,NULL
Ramp_Wheel Stop,6,If element categorisedas Critical to overallasset function
Ramp_Winch,NULL,NULL
Residential Building_Access Strip,9,NULL
Residential Building_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Residential Building_Alternator,NULL,NULL
Residential Building_Animal Grid,2,NULL
Residential Building_Animal Grid,6,If functioning of theAsset could be directlyaffected by animaldamage
Residential Building_Balustrade,4,NULL
Residential Building_Balustrade,7,If element required forsafe operation.
Residential Building_Beams,8,NULL
Residential Building_Beams,9,If element deemed tobe load bearing
Residential Building_Cable and Pipe Management,4,NULL
Residential Building_Cable and Pipe Management,7,If cables or pipes areintegral to operation ofthe building
Residential Building_Ceiling,4,NULL
Residential Building_Climate Control,NULL,NULL
Residential Building_Distribution Board,NULL,NULL
Residential Building_Distribution Network Operator Feeder,NULL,NULL
Residential Building_Doors and Windows,6,NULL
Residential Building_Doors and Windows,9,If element is critical foraccess/egress/security
Residential Building_Drainage System,5,NULL
Residential Building_Drainage System,9,"if failure could not bemitigated and wouldcause a H,S&W /pollution incident."
Residential Building_Electrical System,NULL,NULL
Residential Building_Electricity Meter,NULL,NULL
